"","Kraków - Aleja Krasińskiego (pył zawieszony PM2.5 [jednostka ug/m3])","Kraków - Aleja Krasińskiego (pył zawieszony PM10 [jednostka ug/m3])","Kraków - Aleja Krasińskiego (dwutlenek azotu [jednostka ug/m3])","Kraków - Aleja Krasińskiego (tlenek azotu [jednostka ug/m3])","Kraków - Aleja Krasińskiego (tlenki azotu [jednostka ug/m3])","Kraków - Aleja Krasińskiego (tlenek węgla [jednostka ug/m3])","Kraków - Aleja Krasińskiego (benzen [jednostka ug/m3])","rok","miesiac","dzien"
"1",0.434782608695652,0.5,92.0130434782609,33.7347826086957,40.2869565217391,19.4173913043478,10.2565217391304,2023,9,1
"2",0.479166666666667,0.552173913043478,75.95,27.3166666666667,35.5782608695652,13.8391304347826,8.69565217391304,2023,9,2
"3",0.4875,0.545833333333333,74.0375,27.1458333333333,32.4041666666667,18.2083333333333,12.2666666666667,2023,9,3
"4",0.395833333333333,0.483333333333333,84.8,29.1875,40.0583333333333,24.7458333333333,12.3333333333333,2023,9,4
"5",0.695833333333333,0.6,126.154166666667,48.9791666666667,51.075,24.4458333333333,13.6458333333333,2023,9,5
"6",0.816666666666667,0.6375,133.870833333333,51.7875,54.4666666666667,29.3708333333333,16.1916666666667,2023,9,6
"7",0.991666666666667,0.695652173913043,145.745833333333,58.4791666666667,58.6260869565217,37.0782608695652,21.1782608695652,2023,9,7
"8",1.09166666666667,0.725,158.679166666667,64.1416666666667,60.3375,40.7833333333333,25.7666666666667,2023,9,8
"9",0.9125,0.683333333333333,118.1875,42.5125,53,36.3166666666667,26.55,2023,9,9
"10",0.8375,0.7125,104.341666666667,36.5041666666667,48.3916666666667,35.7833333333333,27.0666666666667,2023,9,10
"11",0.591666666666667,0.579166666666667,101.308333333333,34.3583333333333,48.6291666666667,34.2166666666667,20.2083333333333,2023,9,11
"12",0.629166666666667,0.647826086956522,103.279166666667,34.6,52.4565217391304,42.5217391304348,26.4739130434783,2023,9,12
"13",0.591666666666667,0.6125,100.058333333333,30.8916666666667,52.7083333333333,47.0458333333333,28.1041666666667,2023,9,13
"14",0.308333333333333,0.458333333333333,77.625,25.2041666666667,38.9666666666667,14.6708333333333,8.87083333333333,2023,9,14
"15",0.520833333333333,0.504166666666667,110.575,42.1166666666667,46,16.7583333333333,8.775,2023,9,15
"16",1.07916666666667,0.554166666666667,86.425,31.7458333333333,37.75,26.1916666666667,18.1541666666667,2023,9,16
"17",0.795833333333333,0.595652173913043,97.3916666666667,37.9708333333333,41.004347826087,19.5782608695652,13.1173913043478,2023,9,17
"18",0.766666666666667,0.6625,141.708333333333,59.7625,50.075,29.025,15.6791666666667,2023,9,18
"19",0.445833333333333,0.554166666666667,110.208333333333,46.1083333333333,39.4875,22.5166666666667,14.025,2023,9,19
"20",0.4875,0.6,128.041666666667,58.0541666666667,39.0208333333333,17.7791666666667,7.64166666666667,2023,9,20
"21",0.9,0.670833333333333,155.920833333333,66.6416666666667,53.7375,22.9166666666667,9.7,2023,9,21
"22",0.6875,0.617391304347826,125.625,49.0958333333333,52.3652173913043,30.9217391304348,13.7173913043478,2023,9,22
"23",0.416666666666667,0.533333333333333,90.1583333333333,36.5375,34.15,18.275,11.9458333333333,2023,9,23
"24",0.391666666666667,3.0375,87.4958333333333,35.1125,34.5916666666667,11.7041666666667,7.4695652173913,2023,9,24
"25",0.55,0.520833333333333,97.6166666666667,41.0333333333333,34.7,24.675,14.8666666666667,2023,9,25
"26",0.770833333333333,0.691666666666667,136.7125,61.2208333333333,42.8333333333333,35.7375,20.525,2023,9,26
"27",0.925,0.726086956521739,141.758333333333,58.8958333333333,54.0478260869565,40.5434782608696,22.395652173913,2023,9,27
"28",0.945833333333333,0.779166666666667,173.208333333333,77.6041666666667,54.2333333333333,42.5875,22.0125,2023,9,28
"29",0.816666666666667,0.7625,178.575,81.5541666666667,53.5291666666667,37.5625,20.4291666666667,2023,9,29
"30",0.733333333333333,0.729166666666667,134.9625,64.7625,35.6708333333333,28.1208333333333,18.8666666666667,2023,9,30
