"","Kraków - Aleja Krasińskiego (pył zawieszony PM2.5 [jednostka ug/m3])","Kraków - Aleja Krasińskiego (pył zawieszony PM10 [jednostka ug/m3])","Kraków - Aleja Krasińskiego (dwutlenek azotu [jednostka ug/m3])","Kraków - Aleja Krasińskiego (tlenek azotu [jednostka ug/m3])","Kraków - Aleja Krasińskiego (tlenki azotu [jednostka ug/m3])","Kraków - Aleja Krasińskiego (tlenek węgla [jednostka ug/m3])","Kraków - Aleja Krasińskiego (benzen [jednostka ug/m3])","rok","miesiac","dzien"
"1",11.7608695652174,25.0434782608696,44.5739130434783,38.8347826086957,104.108695652174,0.595652173913043,0.465217391304348,2023,8,1
"2",8.29583333333333,18.4375,36.2458333333333,22.1708333333333,70.2416666666667,0.520833333333333,0.3375,2023,8,2
"3",8.38333333333333,22.7458333333333,50.0608695652174,36.1958333333333,107.939130434783,0.634782608695652,0.478260869565217,2023,8,3
"4",10,24.6958333333333,47.4,38.625,106.616666666667,0.6125,0.470833333333333,2023,8,4
"5",11.2958333333333,18.4666666666667,36,26.025,75.9041666666667,0.604166666666667,0.386363636363636,2023,8,5
"6",7.33333333333333,11.0458333333333,21.6791666666667,19.1666666666667,51.075,0.5125,0.35,2023,8,6
"7",4.9875,12.0833333333333,21.1958333333333,17.9541666666667,48.7125,0.416666666666667,0.195833333333333,2023,8,7
"8",5.99583333333333,14.375,30.7652173913043,19.8708333333333,62.5652173913044,0.430434782608696,0.265217391304348,2023,8,8
"9",6.66666666666667,15.625,32.275,27.7375,74.7833333333333,0.4625,0.275,2023,8,9
"10",11.7,20.6875,40.6041666666667,24.9833333333333,78.8916666666667,0.504166666666667,0.358333333333333,2023,8,10
"11",14.1083333333333,25.4958333333333,46.4416666666667,29.5625,91.7708333333333,0.558333333333333,0.479166666666667,2023,8,11
"12",15.2125,25.2708333333333,46.7583333333333,23.225,82.3583333333333,0.575,0.4625,2023,8,12
"13",15.6,25.2166666666667,39.5173913043478,25.1208333333333,79.6782608695652,0.61304347826087,0.48695652173913,2023,8,13
"14",16.9416666666667,30.3625,48.5625,26.4833333333333,89.1958333333333,0.608333333333333,0.416666666666667,2023,8,14
"15",20.6416666666667,33.3375,37.075,20.3916666666667,68.3541666666667,0.625,0.5125,2023,8,15
"16",22.8375,39.5666666666667,51.7583333333333,30.8208333333333,98.9916666666667,0.675,0.516666666666667,2023,8,16
"17",18.8,34.1708333333333,45.5375,28.4125,89.1041666666667,0.595833333333333,0.529166666666667,2023,8,17
"18",17.1291666666667,31.025,43.3869565217391,28.325,88.6913043478261,0.58695652173913,0.469565217391304,2023,8,18
"19",18.9333333333333,28.1833333333333,34.9625,21.9041666666667,68.5625,0.595833333333333,0.3875,2023,8,19
"20",21.8375,31.1333333333333,32.1458333333333,16.0125,56.6916666666667,0.591666666666667,0.370833333333333,2023,8,20
"21",28.4625,44.6958333333333,46.7125,25.4916666666667,85.8166666666667,0.695833333333333,0.479166666666667,2023,8,21
"22",17.4333333333333,31.9291666666667,53.8625,26.9666666666667,95.2208333333333,0.604166666666667,0.570833333333333,2023,8,22
"23",25.2666666666667,37.15,42.5913043478261,20.6458333333333,75.604347826087,0.591304347826087,0.456521739130435,2023,8,23
"24",18.1833333333333,30.2166666666667,51.8791666666667,23.2375,87.5083333333333,0.591666666666667,0.491666666666667,2023,8,24
"25",23.0541666666667,42.9791666666667,54.9625,32.0916666666667,104.208333333333,0.691666666666667,0.820833333333333,2023,8,25
"26",15.8041666666667,26.6625,39.7833333333333,23.25,75.4458333333333,0.6,0.391666666666667,2023,8,26
"27",13.8916666666667,20.7416666666667,31.65,17.8666666666667,59.0625,0.583333333333333,0.3875,2023,8,27
"28",12.5083333333333,20.9333333333333,33.7391304347826,28.6291666666667,79.5434782608696,0.578260869565217,0.378260869565217,2023,8,28
"29",15.0333333333333,24.925,35.6333333333333,34.475,88.4875,0.616666666666667,0.479166666666667,2023,8,29
"30",12.9958333333333,20.3375,24.9136363636364,24.2416666666667,65.4045454545455,0.513636363636364,0.404545454545455,2023,8,30
"31",11.8375,20.1416666666667,31.6291666666667,24.6958333333333,69.4583333333333,0.441666666666667,0.354166666666667,2023,8,31
